date,min,max,mean,normal_min,normal_max
18770701,57,79,68,63.4,80.3
18770702,59,76,67.5,63.6,80.5
18770703,60,78,69,63.7,80.7
18770704,57,79,68,63.8,80.8
18770705,57,82,69.5,63.9,81
18770706,55,85,70,64,81.1
18770707,58,88,73,64.1,81.3
18770708,60,85,72.5,64.2,81.4
18770709,60,85,72.5,64.3,81.5
18770710,60,85,72.5,64.4,81.6
18770711,63,87,75,64.5,81.7
18770712,66,86,76,64.6,81.8
18770713,64,86,75,64.7,81.9
18770714,61,85,73,64.7,82
18770715,61,82,71.5,64.8,82.1
18770716,63,76,69.5,64.9,82.2
18770717,62,82,72,64.9,82.3
18770718,63,84,73.5,65,82.3
18770719,64,90,77,65,82.4
18770720,67,93,80,65.1,82.5
18770721,70,91,80.5,65.1,82.5
18770722,70,92,81,65.2,82.6
18770723,68,89,78.5,65.2,82.6
18770724,67,85,76,65.2,82.7
18770725,65,83,74,65.3,82.7
18770726,64,79,71.5,65.3,82.8
18770727,63,80,71.5,65.3,82.8
18770728,59,80,69.5,65.3,82.9
18770729,60,80,70,65.3,82.9
18770730,60,77,68.5,65.3,83
18770731,62,77,69.5,65.4,83
18770801,61,76,68.5,65.4,83.1
18770802,61,78,69.5,65.4,83.1
18770803,58,81,69.5,65.4,83.2
18770804,59,81,70,65.4,83.3
18770805,60,82,71,65.4,83.3
18770806,56,81,68.5,65.4,83.4
18770807,56,81,68.5,65.4,83.5
18770808,58,79,68.5,65.4,83.5
18770809,59,83,71,65.4,83.6
18770810,60,84,72,65.4,83.7
18770811,63,86,74.5,65.4,83.7
18770812,65,87,76,65.4,83.8
18770813,65,85,75,65.4,83.9
18770814,63,83,73,65.4,83.9
18770815,64,84,74,65.4,84
18770816,63,81,72,65.4,84.1
18770817,60,80,70,65.4,84.1
18770818,61,81,71,65.4,84.2
18770819,58,81,69.5,65.4,84.3
18770820,55,85,70,65.4,84.3
18770821,59,85,72,65.4,84.4
18770822,57,84,70.5,65.4,84.4
18770823,63,83,73,65.4,84.5
18770824,60,81,70.5,65.4,84.5
18770825,61,86,73.5,65.4,84.5
18770826,63,87,75,65.4,84.6
18770827,61,83,72,65.4,84.6
18770828,60,84,72,65.4,84.6
18770829,60,83,71.5,65.3,84.6
18770830,57,85,71,65.3,84.6
18770831,59,80,69.5,65.3,84.6
18770901,69,93,81,65.3,84.6
18770902,63,86,74.5,65.2,84.5
18770903,58,83,70.5,65.2,84.5
18770904,62,80,71,65.2,84.4
18770905,63,84,73.5,65.1,84.4
18770906,62,79,70.5,65.1,84.3
18770907,60,77,68.5,65,84.2
18770908,55,83,69,65,84.1
18770909,57,88,72.5,64.9,84
18770910,64,87,75.5,64.8,83.9
18770911,59,81,70,64.7,83.8
18770912,60,74,67,64.7,83.7
18770913,57,77,67,64.6,83.6
18770914,56,86,71,64.5,83.4
18770915,57,90,73.5,64.4,83.3
18770916,60,90,75,64.3,83.1
18770917,61,84,72.5,64.2,83
18770918,64,83,73.5,64.1,82.8
18770919,64,81,72.5,64,82.6
18770920,64,76,70,63.9,82.5
18770921,64,78,71,63.8,82.3
18770922,64,78,71,63.6,82.1
18770923,59,76,67.5,63.5,82
18770924,55,77,66,63.4,81.8
18770925,58,82,70,63.3,81.6
18770926,58,88,73,63.1,81.4
18770927,54,86,70,63,81.3
18770928,59,87,73,62.9,81.1
18770929,58,84,71,62.7,80.9
18770930,52,78,65,62.6,80.8
18771001,59,80,69.5,62.4,80.6
18771002,59,77,68,62.3,80.4
18771003,63,78,70.5,62.1,80.3
18771004,63,77,70,62,80.1
18771005,60,78,69,61.8,80
18771006,59,78,68.5,61.7,79.8
18771007,60,79,69.5,61.5,79.7
18771008,60,77,68.5,61.3,79.6
18771009,58,76,67,61.2,79.4
18771010,61,75,68,61,79.3
18771011,60,73,66.5,60.9,79.2
18771012,58,70,64,60.7,79.1
18771013,54,70,62,60.5,78.9
18771014,54,74,64,60.4,78.8
18771015,51,71,61,60.2,78.7
18771016,53,74,63.5,60,78.6
18771017,52,75,63.5,59.8,78.5
18771018,51,75,63,59.6,78.4
18771019,50,74,62,59.5,78.2
18771020,50,76,63,59.3,78.1
18771021,50,73,61.5,59.1,78
18771022,52,71,61.5,58.9,77.9
18771023,56,71,63.5,58.7,77.8
18771024,52,72,62,58.5,77.6
18771025,54,77,65.5,58.3,77.5
18771026,52,75,63.5,58.1,77.4
18771027,57,75,66,57.9,77.2
18771028,51,71,61,57.7,77.1
18771029,47,60,53.5,57.4,76.9
18771030,43,63,53,57.2,76.8
18771031,44,63,53.5,57,76.6
18771101,46,74,60,56.8,76.4
18771102,51,74,62.5,56.5,76.2
18771103,49,71,60,56.3,76
18771104,48,72,60,56,75.8
18771105,52,75,63.5,55.8,75.6
18771106,53,71,62,55.5,75.4
18771107,52,80,66,55.3,75.2
18771108,53,86,69.5,55,74.9
18771109,60,85,72.5,54.8,74.7
18771110,59,80,69.5,54.5,74.5
18771111,50,69,59.5,54.3,74.2
18771112,53,67,60,54,73.9
18771113,48,69,58.5,53.7,73.7
18771114,50,72,61,53.5,73.4
18771115,50,79,64.5,53.2,73.1
18771116,53,75,64,52.9,72.9
18771117,50,76,63,52.7,72.6
18771118,52,76,64,52.4,72.3
18771119,50,76,63,52.1,72
18771120,45,73,59,51.9,71.7
18771121,49,66,57.5,51.6,71.4
18771122,48,67,57.5,51.4,71.2
18771123,51,67,59,51.1,70.9
18771124,48,80,64,50.9,70.6
18771125,48,83,65.5,50.7,70.3
18771126,54,84,69,50.4,70.1
18771127,55,84,69.5,50.2,69.8
18771128,51,73,62,50,69.6
18771129,47,75,61,49.8,69.3
18771130,48,73,60.5,49.6,69.1
18771201,44,65,54.5,49.4,68.9
18771202,50,65,57.5,49.2,68.7
18771203,46,66,56,49.1,68.5
18771204,44,73,58.5,48.9,68.3
18771205,47,72,59.5,48.8,68.1
18771206,51,81,66,48.6,67.9
18771207,54,71,62.5,48.5,67.8
18771208,50,70,60,48.4,67.6
18771209,45,76,60.5,48.3,67.5
18771210,52,75,63.5,48.2,67.4
18771211,49,71,60,48.1,67.3
18771212,49,79,64,48,67.2
18771213,56,75,65.5,48,67.1
18771214,58,65,61.5,47.9,67
18771215,56,61,58.5,47.9,67
18771216,50,66,58,47.8,67
18771217,48,65,56.5,47.8,66.9
18771218,52,61,56.5,47.8,66.9
18771219,46,65,55.5,47.8,66.9
18771220,51,64,57.5,47.8,66.9
18771221,45,63,54,47.8,66.9
18771222,46,66,56,47.8,67
18771223,48,57,52.5,47.9,67
18771224,43,55,49,47.9,67
18771225,42,58,50,47.9,67.1
18771226,41,59,50,48,67.1
18771227,40,61,50.5,48,67.2
18771228,42,60,51,48,67.2
18771229,48,62,55,48.1,67.3
18771230,38,59,48.5,48.1,67.4
18771231,36,58,47,48.2,67.4
18780101,38,60,49,48.3,67.5
18780102,37,58,47.5,48.3,67.6
18780103,37,61,49,48.4,67.6
18780104,38,63,50.5,48.4,67.7
18780105,48,67,57.5,48.5,67.8
18780106,46,68,57,48.5,67.8
18780107,47,66,56.5,48.6,67.9
18780108,44,64,54,48.6,67.9
18780109,47,69,58,48.7,68
18780110,44,63,53.5,48.7,68
18780111,48,66,57,48.8,68.1
18780112,45,67,56,48.8,68.1
18780113,44,64,54,48.9,68.1
18780114,49,58,53.5,48.9,68.1
18780115,52,62,57,48.9,68.2
18780116,51,64,57.5,49,68.2
18780117,49,63,56,49,68.2
18780118,44,63,53.5,49,68.2
18780119,44,67,55.5,49.1,68.2
18780120,45,69,57,49.1,68.2
18780121,51,72,61.5,49.1,68.2
18780122,47,65,56,49.1,68.2
18780123,53,63,58,49.2,68.1
18780124,53,65,59,49.2,68.1
18780125,48,62,55,49.2,68.1
18780126,43,64,53.5,49.2,68.1
18780127,45,65,55,49.2,68.1
18780128,45,62,53.5,49.2,68
18780129,50,65,57.5,49.3,68
18780130,52,61,56.5,49.3,68
18780131,47,63,55,49.3,67.9
18780201,45,65,55,49.3,67.9
18780202,49,70,59.5,49.3,67.9
18780203,48,71,59.5,49.4,67.9
18780204,49,64,56.5,49.4,67.9
18780205,47,64,55.5,49.4,67.8
18780206,41,54,47.5,49.5,67.8
18780207,42,59,50.5,49.5,67.8
18780208,45,61,53,49.5,67.8
18780209,42,63,52.5,49.6,67.8
18780210,44,66,55,49.6,67.8
18780211,42,65,53.5,49.7,67.8
18780212,49,63,56,49.7,67.8
18780213,47,60,53.5,49.8,67.8
18780214,43,60,51.5,49.9,67.8
18780215,50,57,53.5,49.9,67.9
18780216,50,66,58,50,67.9
18780217,51,66,58.5,50.1,67.9
18780218,56,62,59,50.1,68
18780219,54,64,59,50.2,68
18780220,45,63,54,50.3,68.1
18780221,48,65,56.5,50.4,68.1
18780222,45,65,55,50.5,68.2
18780223,46,67,56.5,50.6,68.2
18780224,52,63,57.5,50.7,68.3
18780225,45,68,56.5,50.8,68.3
18780226,49,62,55.5,50.8,68.4
18780227,47,63,55,50.9,68.5
18780228,45,62,53.5,51,68.6
18780301,42,66,54,51.1,68.6
18780302,46,75,60.5,51.2,68.7
18780303,50,69,59.5,51.3,68.8
18780304,50,65,57.5,51.4,68.9
18780305,46,67,56.5,51.5,69
18780306,46,64,55,51.6,69
18780307,51,65,58,51.7,69.1
18780308,43,68,55.5,51.8,69.2
18780309,41,69,55,51.9,69.3
18780310,41,67,54,52,69.4
18780311,45,65,55,52.1,69.5
18780312,47,65,56,52.1,69.6
18780313,48,65,56.5,52.2,69.6
18780314,47,68,57.5,52.3,69.7
18780315,48,71,59.5,52.4,69.8
18780316,48,76,62,52.5,69.9
18780317,55,63,59,52.5,70
18780318,55,64,59.5,52.6,70.1
18780319,49,68,58.5,52.7,70.2
18780320,50,67,58.5,52.8,70.2
18780321,53,64,58.5,52.8,70.3
18780322,49,66,57.5,52.9,70.4
18780323,48,69,58.5,53,70.5
18780324,54,64,59,53,70.6
18780325,45,61,53,53.1,70.7
18780326,45,61,53,53.1,70.8
18780327,48,60,54,53.2,70.8
18780328,42,59,50.5,53.3,70.9
18780329,44,62,53,53.3,71
18780330,49,60,54.5,53.4,71.1
18780331,44,67,55.5,53.5,71.2
18780401,50,80,65,53.5,71.3
18780402,48,76,62,53.6,71.4
18780403,52,66,59,53.7,71.4
18780404,50,68,59,53.7,71.5
18780405,48,67,57.5,53.8,71.6
18780406,53,68,60.5,53.9,71.7
18780407,54,65,59.5,54,71.8
18780408,57,64,60.5,54,71.9
18780409,55,70,62.5,54.1,71.9
18780410,59,71,65,54.2,72
18780411,59,66,62.5,54.3,72.1
18780412,57,65,61,54.4,72.2
18780413,54,64,59,54.5,72.3
18780414,48,58,53,54.6,72.4
18780415,49,59,54,54.7,72.4
18780416,42,62,52,54.8,72.5
18780417,43,63,53,54.9,72.6
18780418,42,65,53.5,55,72.7
18780419,44,57,50.5,55.1,72.7
18780420,45,59,52,55.2,72.8
18780421,47,62,54.5,55.3,72.8
18780422,46,66,56,55.4,72.9
18780423,48,66,57,55.5,73
18780424,51,68,59.5,55.6,73
18780425,54,66,60,55.8,73.1
18780426,54,65,59.5,55.9,73.1
18780427,49,77,63,56,73.2
18780428,49,78,63.5,56.1,73.2
18780429,51,77,64,56.2,73.3
18780430,56,67,61.5,56.4,73.3
18780501,56,69,62.5,56.5,73.3
18780502,55,72,63.5,56.6,73.3
18780503,54,84,69,56.7,73.4
18780504,57,89,73,56.8,73.4
18780505,53,75,64,57,73.4
18780506,57,66,61.5,57.1,73.4
18780507,56,66,61,57.2,73.5
18780508,49,70,59.5,57.3,73.5
18780509,54,71,62.5,57.4,73.5
18780510,57,74,65.5,57.5,73.5
18780511,57,71,64,57.6,73.5
18780512,59,76,67.5,57.7,73.5
18780513,58,72,65,57.8,73.5
18780514,59,72,65.5,57.9,73.6
18780515,53,70,61.5,58,73.6
18780516,58,65,61.5,58.1,73.6
18780517,58,70,64,58.2,73.6
18780518,48,77,62.5,58.3,73.6
18780519,57,67,62,58.4,73.7
18780520,52,65,58.5,58.5,73.7
18780521,48,64,56,58.6,73.7
18780522,47,67,57,58.7,73.8
18780523,50,77,63.5,58.8,73.8
18780524,54,77,65.5,58.9,73.9
18780525,60,76,68,59,73.9
18780526,59,75,67,59.1,74
18780527,60,73,66.5,59.2,74.1
18780528,58,71,64.5,59.3,74.2
18780529,50,70,60,59.4,74.3
18780530,48,69,58.5,59.5,74.4
18780531,55,71,63,59.6,74.5
18780601,48,71,59.5,59.7,74.6
18780602,47,75,61,59.8,74.7
18780603,55,75,65,59.9,74.8
18780604,59,74,66.5,60,75
18780605,58,72,65,60.1,75.1
18780606,59,69,64,60.2,75.3
18780607,60,69,64.5,60.3,75.5
18780608,59,73,66,60.4,75.6
18780609,59,77,68,60.5,75.8
18780610,60,75,67.5,60.6,76
18780611,60,73,66.5,60.8,76.2
18780612,59,75,67,60.9,76.4
18780613,60,69,64.5,61,76.6
18780614,60,70,65,61.1,76.8
18780615,60,69,64.5,61.3,77
18780616,60,74,67,61.4,77.2
18780617,60,75,67.5,61.5,77.4
18780618,54,75,64.5,61.7,77.6
18780619,60,76,68,61.8,77.9
18780620,60,78,69,62,78.1
18780621,61,79,70,62.1,78.3
18780622,61,78,69.5,62.2,78.5
18780623,58,78,68,62.4,78.7
18780624,55,78,66.5,62.5,78.9
18780625,61,80,70.5,62.6,79.2
18780626,61,78,69.5,62.8,79.4
18780627,61,79,70,62.9,79.6
18780628,60,75,67.5,63.1,79.8
18780629,62,77,69.5,63.2,79.9
18780630,56,81,68.5,63.3,80.1
18780701,64,83,73.5,63.4,80.3
18780702,60,81,70.5,63.6,80.5
18780703,60,80,70,63.7,80.7
18780704,54,79,66.5,63.8,80.8
18780705,59,76,67.5,63.9,81
18780706,54,77,65.5,64,81.1
18780707,58,80,69,64.1,81.3
18780708,57,80,68.5,64.2,81.4
18780709,59,80,69.5,64.3,81.5
18780710,59,77,68,64.4,81.6
18780711,52,79,65.5,64.5,81.7
18780712,54,81,67.5,64.6,81.8
18780713,57,85,71,64.7,81.9
18780714,63,88,75.5,64.7,82
18780715,61,81,71,64.8,82.1
18780716,63,80,71.5,64.9,82.2
18780717,61,76,68.5,64.9,82.3
18780718,59,78,68.5,65,82.3
18780719,60,77,68.5,65,82.4
18780720,61,78,69.5,65.1,82.5
18780721,61,82,71.5,65.1,82.5
18780722,63,79,71,65.2,82.6
18780723,61,78,69.5,65.2,82.6
18780724,57,78,67.5,65.2,82.7
18780725,59,81,70,65.3,82.7
18780726,61,81,71,65.3,82.8
18780727,62,81,71.5,65.3,82.8
18780728,60,80,70,65.3,82.9
18780729,59,86,72.5,65.3,82.9
18780730,57,83,70,65.3,83
18780731,56,83,69.5,65.4,83
18780801,63,85,74,65.4,83.1
18780802,61,83,72,65.4,83.1
18780803,59,80,69.5,65.4,83.2
18780804,54,80,67,65.4,83.3
18780805,58,83,70.5,65.4,83.3
18780806,59,82,70.5,65.4,83.4
18780807,58,84,71,65.4,83.5
18780808,63,89,76,65.4,83.5
18780809,63,87,75,65.4,83.6
18780810,63,84,73.5,65.4,83.7
18780811,62,82,72,65.4,83.7
18780812,63,86,74.5,65.4,83.8
18780813,66,87,76.5,65.4,83.9
18780814,65,84,74.5,65.4,83.9
18780815,64,84,74,65.4,84
18780816,62,84,73,65.4,84.1
18780817,60,85,72.5,65.4,84.1
18780818,60,81,70.5,65.4,84.2
18780819,60,77,68.5,65.4,84.3
18780820,59,78,68.5,65.4,84.3
18780821,62,79,70.5,65.4,84.4
18780822,60,75,67.5,65.4,84.4
18780823,54,77,65.5,65.4,84.5
18780824,57,76,66.5,65.4,84.5
18780825,63,73,68,65.4,84.5
18780826,63,78,70.5,65.4,84.6
18780827,59,77,68,65.4,84.6
18780828,58,75,66.5,65.4,84.6
18780829,58,75,66.5,65.3,84.6
18780830,61,76,68.5,65.3,84.6
18780831,61,76,68.5,65.3,84.6
18780901,62,77,69.5,65.3,84.6
18780902,63,78,70.5,65.2,84.5
18780903,63,81,72,65.2,84.5
18780904,63,79,71,65.2,84.4
18780905,62,78,70,65.1,84.4
18780906,60,77,68.5,65.1,84.3
18780907,62,78,70,65,84.2
18780908,62,78,70,65,84.1
18780909,54,81,67.5,64.9,84
18780910,63,103,83,64.8,83.9
18780911,65,101,83,64.7,83.8
18780912,71,100,85.5,64.7,83.7
18780913,64,90,77,64.6,83.6
18780914,64,87,75.5,64.5,83.4
18780915,60,86,73,64.4,83.3
18780916,58,77,67.5,64.3,83.1
18780917,59,73,66,64.2,83
18780918,53,72,62.5,64.1,82.8
18780919,52,76,64,64,82.6
18780920,54,85,69.5,63.9,82.5
18780921,55,79,67,63.8,82.3
18780922,56,76,66,63.6,82.1
18780923,55,78,66.5,63.5,82
18780924,58,76,67,63.4,81.8
18780925,54,75,64.5,63.3,81.6
18780926,60,78,69,63.1,81.4
18780927,59,76,67.5,63,81.3
18780928,51,74,62.5,62.9,81.1
18780929,50,72,61,62.7,80.9
18780930,52,72,62,62.6,80.8
18781001,53,75,64,62.4,80.6
18781002,55,80,67.5,62.3,80.4
18781003,53,75,64,62.1,80.3
18781004,60,72,66,62,80.1
18781005,54,71,62.5,61.8,80
18781006,51,75,63,61.7,79.8
18781007,57,77,67,61.5,79.7
18781008,58,75,66.5,61.3,79.6
18781009,56,74,65,61.2,79.4
18781010,53,75,64,61,79.3
18781011,51,76,63.5,60.9,79.2
18781012,58,73,65.5,60.7,79.1
18781013,49,72,60.5,60.5,78.9
18781014,53,70,61.5,60.4,78.8
18781015,54,70,62,60.2,78.7
18781016,48,86,67,60,78.6
18781017,49,88,68.5,59.8,78.5
18781018,48,81,64.5,59.6,78.4
18781019,44,73,58.5,59.5,78.2
18781020,45,74,59.5,59.3,78.1
18781021,48,88,68,59.1,78
18781022,52,91,71.5,58.9,77.9
18781023,55,90,72.5,58.7,77.8
18781024,50,84,67,58.5,77.6
18781025,50,76,63,58.3,77.5
18781026,47,75,61,58.1,77.4
18781027,46,89,67.5,57.9,77.2
18781028,49,82,65.5,57.7,77.1
18781029,43,80,61.5,57.4,76.9
18781030,45,77,61,57.2,76.8
18781031,48,80,64,57,76.6
18781101,47,74,60.5,56.8,76.4
18781102,47,68,57.5,56.5,76.2
18781103,51,69,60,56.3,76
18781104,49,68,58.5,56,75.8
18781105,53,64,58.5,55.8,75.6
18781106,53,67,60,55.5,75.4
18781107,48,69,58.5,55.3,75.2
18781108,50,70,60,55,74.9
18781109,50,68,59,54.8,74.7
18781110,46,71,58.5,54.5,74.5
18781111,45,71,58,54.3,74.2
18781112,44,66,55,54,73.9
18781113,45,70,57.5,53.7,73.7
18781114,44,72,58,53.5,73.4
18781115,53,70,61.5,53.2,73.1
18781116,45,78,61.5,52.9,72.9
18781117,53,81,67,52.7,72.6
18781118,50,81,65.5,52.4,72.3
18781119,48,81,64.5,52.1,72
18781120,45,79,62,51.9,71.7
18781121,46,76,61,51.6,71.4
18781122,53,67,60,51.4,71.2
18781123,50,66,58,51.1,70.9
18781124,50,71,60.5,50.9,70.6
18781125,40,68,54,50.7,70.3
18781126,46,70,58,50.4,70.1
18781127,40,68,54,50.2,69.8
18781128,38,67,52.5,50,69.6
18781129,37,78,57.5,49.8,69.3
18781130,40,77,58.5,49.6,69.1
18781201,50,80,65,49.4,68.9
18781202,51,85,68,49.2,68.7
18781203,60,88,74,49.1,68.5
18781204,48,80,64,48.9,68.3
18781205,43,64,53.5,48.8,68.1
18781206,50,66,58,48.6,67.9
18781207,44,72,58,48.5,67.8
18781208,42,78,60,48.4,67.6
18781209,53,73,63,48.3,67.5
18781210,40,66,53,48.2,67.4
18781211,39,64,51.5,48.1,67.3
18781212,34,62,48,48,67.2
18781213,34,62,48,48,67.1
18781214,30,61,45.5,47.9,67
18781215,36,66,51,47.9,67
18781216,39,70,54.5,47.8,67
18781217,38,67,52.5,47.8,66.9
18781218,35,65,50,47.8,66.9
18781219,36,68,52,47.8,66.9
18781220,38,67,52.5,47.8,66.9
18781221,42,72,57,47.8,66.9
18781222,42,73,57.5,47.8,67
18781223,40,69,54.5,47.9,67
18781224,40,59,49.5,47.9,67
18781225,35,60,47.5,47.9,67.1
18781226,39,65,52,48,67.1
18781227,40,60,50,48,67.2
18781228,46,54,50,48,67.2
18781229,44,56,50,48.1,67.3
18781230,43,55,49,48.1,67.4
18781231,49,56,52.5,48.2,67.4
18790101,37,52,44.5,48.3,67.5
18790102,52,67,59.5,48.3,67.6
18790103,52,67,59.5,48.4,67.6
18790104,46,60,53,48.4,67.7
18790105,52,64,58,48.5,67.8
18790106,46,64,55,48.5,67.8
18790107,46,59,52.5,48.6,67.9
18790108,36,59,47.5,48.6,67.9
18790109,37,56,46.5,48.7,68
18790110,38,62,50,48.7,68
18790111,38,60,49,48.8,68.1
18790112,40,59,49.5,48.8,68.1
18790113,41,55,48,48.9,68.1
18790114,41,57,49,48.9,68.1
18790115,36,56,46,48.9,68.2
18790116,36,59,47.5,49,68.2
18790117,36,60,48,49,68.2
18790118,41,72,56.5,49,68.2
18790119,48,74,61,49.1,68.2
18790120,49,71,60,49.1,68.2
18790121,42,68,55,49.1,68.2
18790122,41,66,53.5,49.1,68.2
18790123,42,66,54,49.2,68.1
18790124,50,73,61.5,49.2,68.1
18790125,50,60,55,49.2,68.1
18790126,39,56,47.5,49.2,68.1
18790127,45,58,51.5,49.2,68.1
18790128,42,57,49.5,49.2,68
18790129,46,53,49.5,49.3,68
18790130,39,60,49.5,49.3,68
18790131,42,62,52,49.3,67.9
18790201,40,67,53.5,49.3,67.9
18790202,42,72,57,49.3,67.9
18790203,49,57,53,49.4,67.9
18790204,48,58,53,49.4,67.9
18790205,39,61,50,49.4,67.8
18790206,39,63,51,49.5,67.8
18790207,39,58,48.5,49.5,67.8
18790208,45,61,53,49.5,67.8
18790209,45,62,53.5,49.6,67.8
18790210,52,64,58,49.6,67.8
18790211,51,60,55.5,49.7,67.8
18790212,54,63,58.5,49.7,67.8
18790213,53,62,57.5,49.8,67.8
18790214,48,64,56,49.9,67.8
18790215,51,67,59,49.9,67.9
18790216,47,67,57,50,67.9
18790217,48,75,61.5,50.1,67.9
18790218,52,72,62,50.1,68
18790219,54,80,67,50.2,68
18790220,48,74,61,50.3,68.1
18790221,46,65,55.5,50.4,68.1
18790222,50,62,56,50.5,68.2
18790223,47,62,54.5,50.6,68.2
18790224,44,64,54,50.7,68.3
18790225,50,63,56.5,50.8,68.3
18790226,50,66,58,50.8,68.4
18790227,47,59,53,50.9,68.5
18790228,52,58,55,51,68.6
18790301,49,70,59.5,51.1,68.6
18790302,50,63,56.5,51.2,68.7
18790303,45,62,53.5,51.3,68.8
18790304,44,66,55,51.4,68.9
18790305,43,65,54,51.5,69
18790306,50,63,56.5,51.6,69
18790307,45,60,52.5,51.7,69.1
18790308,46,60,53,51.8,69.2
18790309,47,62,54.5,51.9,69.3
18790310,48,64,56,52,69.4
18790311,45,72,58.5,52.1,69.5
18790312,42,76,59,52.1,69.6
18790313,46,75,60.5,52.2,69.6
18790314,48,74,61,52.3,69.7
18790315,54,61,57.5,52.4,69.8
18790316,54,62,58,52.5,69.9
18790317,54,60,57,52.5,70
18790318,54,64,59,52.6,70.1
18790319,52,63,57.5,52.7,70.2
18790320,47,63,55,52.8,70.2
18790321,52,62,57,52.8,70.3
18790322,45,68,56.5,52.9,70.4
18790323,46,68,57,53,70.5
18790324,48,68,58,53,70.6
18790325,52,78,65,53.1,70.7
18790326,49,77,63,53.1,70.8
18790327,51,88,69.5,53.2,70.8
18790328,55,90,72.5,53.3,70.9
18790329,61,99,80,53.3,71
18790330,57,78,67.5,53.4,71.1
18790331,54,69,61.5,53.5,71.2
18790401,53,64,58.5,53.5,71.3
18790402,51,68,59.5,53.6,71.4
18790403,50,67,58.5,53.7,71.4
18790404,50,64,57,53.7,71.5
18790405,51,66,58.5,53.8,71.6
18790406,47,66,56.5,53.9,71.7
18790407,48,64,56,54,71.8
18790408,44,70,57,54,71.9
18790409,46,74,60,54.1,71.9
18790410,44,69,56.5,54.2,72
18790411,42,60,51,54.3,72.1
18790412,48,64,56,54.4,72.2
18790413,54,62,58,54.5,72.3
18790414,51,67,59,54.6,72.4
18790415,50,76,63,54.7,72.4
18790416,50,84,67,54.8,72.5
18790417,53,88,70.5,54.9,72.6
18790418,50,81,65.5,55,72.7
18790419,55,66,60.5,55.1,72.7
18790420,50,67,58.5,55.2,72.8
18790421,52,82,67,55.3,72.8
18790422,44,80,62,55.4,72.9
18790423,48,82,65,55.5,73
18790424,46,76,61,55.6,73
18790425,46,74,60,55.8,73.1
18790426,50,71,60.5,55.9,73.1
18790427,49,75,62,56,73.2
18790428,48,72,60,56.1,73.2
18790429,49,74,61.5,56.2,73.3
18790430,46,76,61,56.4,73.3
18790501,49,76,62.5,56.5,73.3
18790502,50,73,61.5,56.6,73.3
18790503,54,72,63,56.7,73.4
18790504,55,72,63.5,56.8,73.4
18790505,54,70,62,57,73.4
18790506,48,70,59,57.1,73.4
18790507,54,73,63.5,57.2,73.5
18790508,43,72,57.5,57.3,73.5
18790509,44,72,58,57.4,73.5
18790510,48,70,59,57.5,73.5
18790511,48,76,62,57.6,73.5
18790512,49,84,66.5,57.7,73.5
18790513,57,70,63.5,57.8,73.5
18790514,53,70,61.5,57.9,73.6
18790515,53,69,61,58,73.6
18790516,46,73,59.5,58.1,73.6
18790517,47,72,59.5,58.2,73.6
18790518,50,71,60.5,58.3,73.6
18790519,54,68,61,58.4,73.7
18790520,45,71,58,58.5,73.7
18790521,48,70,59,58.6,73.7
18790522,44,70,57,58.7,73.8
18790523,46,71,58.5,58.8,73.8
18790524,46,77,61.5,58.9,73.9
18790525,47,76,61.5,59,73.9
18790526,47,72,59.5,59.1,74
18790527,47,76,61.5,59.2,74.1
18790528,50,69,59.5,59.3,74.2
18790529,57,76,66.5,59.4,74.3
18790530,54,92,73,59.5,74.4
18790531,65,97,81,59.6,74.5
18790601,62,100,81,59.7,74.6
18790602,68,104,86,59.8,74.7
18790603,65,99,82,59.9,74.8
18790604,58,86,72,60,75
18790605,61,79,70,60.1,75.1
18790606,60,71,65.5,60.2,75.3
18790607,57,74,65.5,60.3,75.5
18790608,58,72,65,60.4,75.6
18790609,50,72,61,60.5,75.8
18790610,51,72,61.5,60.6,76
18790611,58,72,65,60.8,76.2
18790612,60,74,67,60.9,76.4
18790613,54,72,63,61,76.6
18790614,60,76,68,61.1,76.8
18790615,60,78,69,61.3,77
18790616,60,74,67,61.4,77.2
18790617,55,75,65,61.5,77.4
18790618,54,78,66,61.7,77.6
18790619,58,76,67,61.8,77.9
18790620,55,74,64.5,62,78.1
18790621,54,74,64,62.1,78.3
18790622,58,74,66,62.2,78.5
18790623,56,77,66.5,62.4,78.7
18790624,60,78,69,62.5,78.9
18790625,60,76,68,62.6,79.2
18790626,58,74,66,62.8,79.4
18790627,58,74,66,62.9,79.6
18790628,57,74,65.5,63.1,79.8
18790629,60,76,68,63.2,79.9
18790630,56,76,66,63.3,80.1
18790701,54,76,65,63.4,80.3
18790702,59,75,67,63.6,80.5
18790703,56,76,66,63.7,80.7
18790704,60,79,69.5,63.8,80.8
18790705,55,80,67.5,63.9,81
18790706,60,78,69,64,81.1
18790707,54,78,66,64.1,81.3
18790708,52,80,66,64.2,81.4
18790709,54,80,67,64.3,81.5
18790710,59,78,68.5,64.4,81.6
18790711,58,77,67.5,64.5,81.7
18790712,56,80,68,64.6,81.8
18790713,56,78,67,64.7,81.9
18790714,56,80,68,64.7,82
18790715,58,82,70,64.8,82.1
18790716,58,84,71,64.9,82.2
18790717,61,80,70.5,64.9,82.3
18790718,62,76,69,65,82.3
18790719,61,80,70.5,65,82.4
18790720,56,78,67,65.1,82.5
18790721,56,82,69,65.1,82.5
18790722,55,82,68.5,65.2,82.6
18790723,60,81,70.5,65.2,82.6
